date,DISTSIM_BENCH.active_cores,DISTSIM_BENCH.benchmark_grp,DISTSIM_BENCH.benchmark_id,DISTSIM_BENCH.benchtime_ms,DISTSIM_BENCH.dataprocessed,DISTSIM_BENCH.host_CPI,DISTSIM_BENCH.host_L2_BW,DISTSIM_BENCH.host_L3_BW,DISTSIM_BENCH.host_L3_SYSTEM_BW,DISTSIM_BENCH.host_MEM_BW,DISTSIM_BENCH.host_context_switch,DISTSIM_BENCH.host_cpupercent,DISTSIM_BENCH.host_disk_io,DISTSIM_BENCH.host_disk_io_time,DISTSIM_BENCH.host_disk_weighted_io_time,DISTSIM_BENCH.host_memory,DISTSIM_BENCH.host_network,DISTSIM_BENCH.host_pagefault,DISTSIM_BENCH.host_sched_iowait,DISTSIM_BENCH.host_sched_wait,DISTSIM_BENCH.interference,DISTSIM_BENCH.interference-0,DISTSIM_BENCH.interference-1,DISTSIM_BENCH.interval,DISTSIM_BENCH.latency,DISTSIM_BENCH.latency90,DISTSIM_BENCH.memory_limit,DISTSIM_BENCH.process_dur_ms,DISTSIM_BENCH.throughput,DISTSIM_BENCH.total_dur_ms,DISTSIM_BENCH.web_IPC,DISTSIM_BENCH.web_cpupercent,DISTSIM_BENCH.web_memory,DISTSIM_BENCH.weighted_latency
3/28/2019 2:02:56.696000000 PM,2,1553799748.0,prev,1553799776106,False,3,23055073200,11527536200,106.262,64.787,9773.676,11.813,10.88,31.2,41.6,4094.746,29.011,0,0,0,,,,5,0.001,0.001,32,46.668,1,63.851000000000006,,,,0.001
3/28/2019 2:03:01.746000000 PM,2,1553799748.0,parsec.blackscholes,1553799781172,False,3,23055123000,11527552400,93.416,58.916,15657.202,16.3,27.04,39.999,43.999,4096.293,30.535,0,0,0,,,,5,0.042,0.054,32,49.416000000000004,14,54.751,,,,0.021
3/28/2019 2:03:07.016000000 PM,2,1553799748.0,parsec.blackscholes,1553799786429,False,3,23055294400,11527638200,226.412,94.402,14351.757,16.826,32.96,42.4,1010.411,4087.176,27.414,0,0,0,,,,5,0.043,0.052,32,45.557,14,57.223000000000006,,,,0.021
3/28/2019 2:03:12.119000000 PM,2,1553799748.0,parsec.blackscholes,1553799791550,False,3,23055132600,11527562800,324.338,114.679,15043.462,16.818,26.24,45.6,342.402,4095.938,28.075,0,0,0,,,,5,0.045,0.054,32,45.238,14,50.461,,,,0.022
3/28/2019 2:03:17.349000000 PM,2,1553799748.0,parsec.blackscholes,1553799796782,False,3,23055066600,11527528400,329.735,120.274,15505.227,16.071,21.6,34.4,61.6,4097.297,20.214,0,0,0,,,,5,0.044,0.057,32,42.743,14,48.782,,,,0.022
3/28/2019 2:03:22.662000000 PM,2,1553799748.0,parsec.blackscholes,1553799802085,False,3,23055304400,11527642800,344.697,138.855,15501.213,17.375,13.6,35.201,36.001,4095.402,29.116,0,0,0,,,,5,0.048,0.067,32,51.081,14,57.482,,,,0.024
3/28/2019 2:03:27.840000000 PM,2,1553799748.0,parsec.blackscholes,1553799807272,False,3,23055225600,11527606800,317.16,117.719,14214.356,16.323,58.559,79.199,1517.571,4097.551,28.083,0,0,0,,,,5,0.049,0.054,32,43.126,14,49.887,,,,0.025
3/28/2019 2:03:33.128000000 PM,2,1553799748.0,parsec.blackscholes,1553799812477,False,3,23055225600,11527606800,317.16,117.719,15349.919,19.009,14.56,25.601,30.401,4098.008,31.504,0,0,0,,,,5,0.048,0.065,32,114.826,14,124.232,,,,0.024
3/28/2019 2:03:38.291000000 PM,2,1553799748.0,parsec.blackscholes,1553799817725,False,3,23029074600,11514523000,345.02,127.903,14964.906,15.875,53.119,74.399,967.185,4097.344,24.639,0,0,0,,,,5,0.048,0.054,32,38.113,14,47.658,,,,0.024
3/28/2019 2:03:43.725000000 PM,2,1553799748.0,parsec.blackscholes,1553799823126,False,3,23055309200,11527636000,333.15,127.361,14919.565,18.364,15.2,27.2,28,4095.914,30.408,0,0,0,,,,5,0.05,0.063,32,58.449,15,69.29,,,,0.025
3/28/2019 2:03:48.963000000 PM,2,1553799748.0,parsec.blackscholes,1553799828391,False,3,23055211000,11527595400,326.786,125.499,14692.501,15.921,48.641,65.601,721.61,4096.297,27.005,0,0,0,,,,5,0.052,0.081,32,43.93,13,54.366,,,,0.026
3/28/2019 2:03:54.045000000 PM,2,1553799748.0,parsec.blackscholes,1553799833476,False,3,23055211000,11527595400,326.786,125.499,15728.388,17.086,43.999,67.999,815.189,4098.77,29.85,0,0,0,,,,5,0.044,0.052,32,42.149,14,48.569,,,,0.022
3/28/2019 2:03:59.130000000 PM,2,1553799748.0,parsec.blackscholes,1553799838541,False,3,23055274000,11527622800,335.625,122.234,15483.688,18.468,14.72,28,32.8,4098.039,22.724,0,0,0,,,,5,0.044,0.053,32,51.65,14,61.632,,,,0.022
3/28/2019 2:04:04.329000000 PM,2,1553799748.0,parsec.blackscholes,1553799843743,False,3,23055253600,11527626000,345.303,141.655,14831.87,17.325,52.32,71.2,694.403,4096.168,33.396,0,0,0,,,,5,0.051,0.059,32,47.529,14,60.857,,,,0.025
3/28/2019 2:04:09.610000000 PM,2,1553799748.0,parsec.blackscholes,1553799849029,False,3,23055168600,11527572600,344.159,126.711,14651.01,16.234,11.84,60.8,66.4,4097.289,28.198,0,0,0,,,,5,0.048,0.064,32,42.907000000000004,14,52.928999999999995,,,,0.024
3/28/2019 2:04:14.726000000 PM,2,1553799748.0,parsec.blackscholes,1553799854129,False,3,23055168600,11527572600,344.159,126.711,15413.024,17.549,46.401,64.802,352.81,4098.094,28.133,0,0,0,,,,5,0.044,0.057,32,55.946999999999996,14,68.65899999999999,,,,0.022
3/28/2019 2:04:19.882000000 PM,2,1553799748.0,parsec.blackscholes,1553799859294,False,3,23054564200,11527270400,331.618,125.926,15696.012,17.238,14.56,27.2,28.8,4099.859,26.828,0,0,0,,,,5,0.039,0.048,32,49.586,15,59.636,,,,0.019
3/28/2019 2:04:24.929000000 PM,2,1553799748.0,parsec.blackscholes,1553799864332,False,3,23053551200,11526768400,353.46,143.697,15715.998,17.83,51.68,72.8,639.999,4099.453,27.849,0,0,0,,,,5,0.043,0.056,32,45.311,14,66.78,,,,0.021
3/28/2019 2:04:30.129000000 PM,2,1553799748.0,parsec.blackscholes,1553799869477,False,3,23053551200,11526768400,353.46,143.697,15776.443,16.355,11.52,24.8,27.2,4097.758,29.869,0,0,0,,,,5,0.048,0.063,32,116.202,14,132.443,,,,0.024
3/28/2019 2:04:35.291000000 PM,2,1553799748.0,parsec.blackscholes,1553799874719,False,3,23054290200,11527139400,345.721,140.343,15530.266,17.054,50.4,59.2,542.404,4097.566,28.347,0,0,0,,,,5,0.039,0.046,32,46.695,15,55.071000000000005,,,,0.019
3/28/2019 2:04:40.424000000 PM,2,1553799748.0,parsec.blackscholes,1553799879830,False,3,23055324600,11527650600,347.1,140.862,15988.726,17.145,14.72,33.6,36.8,4099.145,27.948,0,0,0,,,,5,0.043,0.047,32,50.52,14,63.519999999999996,,,,0.021
3/28/2019 2:04:45.497000000 PM,2,1553799748.0,parsec.blackscholes,1553799884934,False,3,23053738400,11526858000,352.544,143.008,15653.965,18.119,51.361,56.001,657.611,4098.434,24.607,0,0,0,,,,5,0.046,0.058,32,38.760999999999996,14,44.498000000000005,,,,0.023
3/28/2019 2:04:50.667000000 PM,2,1553799748.0,parsec.blackscholes,1553799890103,False,3,23053738400,11526858000,352.544,143.008,16155.644,19.086,11.04,26.4,29.6,4099.027,35.018,0,0,0,,,,5,0.047,0.056,32,40.395,14,46.004999999999995,,,,0.024
3/28/2019 2:04:56.069000000 PM,2,1553799748.0,parsec.blackscholes,1553799895402,False,3,23054851800,11527418400,354.763,150.881,16961.369,19.661,49.119,61.598,310.392,4098.797,37.775,0,0,0,,,,5,0.043,0.054,32,123.526,15,139.84,,,,0.021
3/28/2019 2:05:01.274000000 PM,2,1553799748.0,parsec.blackscholes,1553799900698,False,3,23055040800,11527515000,367.596,152.96,17049.301,20.844,46.081,64.801,604.012,4098.844,37.983,0,0,0,,,,5,0.043,0.05,32,44.602000000000004,15,50.446999999999996,,,,0.021
3/28/2019 2:05:06.600000000 PM,2,1553799748.0,parsec.blackscholes,1553799906023,False,3,23055102400,11527535400,358.524,140.513,16098.742,19.204,10.885,23.209,24.81,4099.184,36.868,0,0,0,,,,5,0.044,0.053,32,51.447,15,58.145,,,,0.022
3/28/2019 2:05:11.625000000 PM,2,1553799748.0,parsec.blackscholes,1553799911048,False,3,23055102400,11527535400,358.524,140.513,16912.407,20.642,53.438,51.199,389.591,4099.363,36.815,0,0,0,,,,5,0.047,0.062,32,47.52,14,58.568000000000005,,,,0.024
3/28/2019 2:05:16.886000000 PM,2,1553799748.0,parsec.blackscholes,1553799916319,False,3,23055096800,11527537400,364.093,155.031,17417.705,23.195,65.116,68.796,437.576,4099.477,44.081,0,0,0,,,,5,0.045,0.051,32,35.489,15,43.554,,,,0.022
3/28/2019 2:05:22.221000000 PM,2,1553799748.0,parsec.blackscholes,1553799921640,False,3,23054841000,11527411500,384.707,154.974,15547.01,20.627,45.444,60.004,531.239,4101.586,34.824,0,0,0,,,,5,0.045,0.059,32,55.834,15,64.018,,,,0.022
3/28/2019 2:05:27.408000000 PM,2,1553799748.0,parsec.blackscholes,1553799926837,False,3,23054520200,11527252600,382.776,157.593,16108.157,21.248,45.119,59.199,515.191,4100.07,43.604,0,0,0,,,,5,0.049,0.07,32,39.101,14,44.818999999999996,,,,0.025
3/28/2019 2:05:32.687000000 PM,2,1553799748.0,parsec.blackscholes,1553799932092,False,3,23054967000,11527471200,390.616,168.557,18235.888,22.51,44.641,57.601,456.805,4100.289,48.031,0,0,0,,,,5,0.045,0.06,32,59.937,15,68.054,,,,0.022
3/28/2019 2:05:37.762000000 PM,2,1553799748.0,parsec.blackscholes,1553799937198,False,3,23055314200,11527645000,374.467,159.512,16267.771,23.228,46.4,55.2,288.002,4100.422,47.969,0,0,0,,,,5,0.048,0.068,32,40.707,14,46.1,,,,0.024
3/28/2019 2:05:42.930000000 PM,2,1553799748.0,parsec.blackscholes,1553799942338,False,3,23051705600,11525839400,402.741,166.401,17002.993,24.233,11.52,27.999,35.199,4100.523,51.354,0,0,0,,,,5,0.045,0.06,32,51.216,15,60.918,,,,0.022
3/28/2019 2:05:47.994000000 PM,2,1553799748.0,parsec.blackscholes,1553799947431,False,3,23051705600,11525839400,402.741,166.401,17716.015,26.503,61.601,66.401,641.611,4099.84,58.915,0,0,0,,,,5,0.044,0.051,32,38.621,14,46.286,,,,0.022
3/28/2019 2:05:53.090000000 PM,2,1553799748.0,parsec.blackscholes,1553799952496,False,3,23054880800,11527436400,420.539,202.915,18167.611,26.976,50.4,58.4,362.403,4096.82,62.003,0,0,0,,,,5,0.05,0.06,32,50.266,14,65.604,,,,0.025
3/28/2019 2:05:58.133000000 PM,2,1553799748.0,parsec.blackscholes,1553799957557,False,3,23055294800,11527627200,412.614,177.599,16600.656,25.81,15.04,29.6,35.2,4100.094,58.055,0,0,0,,,,5,0.05,0.057,32,50.919,14,57.059,,,,0.025
3/28/2019 2:06:03.446000000 PM,2,1553799748.0,parsec.blackscholes,1553799962852,False,3,23055255400,11527610000,414.915,193.564,17185.841,25.204,47.2,55.201,528.007,4099.766,61.734,0,0,0,,,,5,0.043,0.052,32,52.847,15,64.185,,,,0.021
3/28/2019 2:06:08.425000000 PM,2,1553799748.0,parsec.blackscholes,1553799967856,False,3,23055255400,11527610000,414.915,193.564,18338.305,28.928,51.839,65.599,482.394,4099.434,57.315,0,0,0,,,,5,0.043,0.055,32,43.028,14,49.054,,,,0.021
3/28/2019 2:06:13.666000000 PM,2,1553799748.0,parsec.blackscholes,1553799973081,False,3,23055283800,11527628800,429.801,194.316,17388.195,28.731,35.199,59.199,330.393,4099.602,67.683,0,0,0,,,,5,0.046,0.055,32,45.156,15,55.830999999999996,,,,0.023
3/28/2019 2:06:18.782000000 PM,2,1553799748.0,parsec.blackscholes,1553799978208,False,3,23054252800,11527111400,436.152,198.603,16993.042,29.305,18.24,36,43.2,4097.688,69.868,0,0,0,,,,5,0.047,0.06,32,40.106,14,50.982,,,,0.024
3/28/2019 2:06:24.079000000 PM,2,1553799748.0,parsec.blackscholes,1553799983485,False,3,23054252800,11527111400,436.152,198.603,17041.235,29.945,53.282,60.002,687.224,4100.516,78.213,0,0,0,,,,5,0.04,0.046,32,54.375,15,65.109,,,,0.02
3/28/2019 2:06:29.321000000 PM,2,1553799748.0,parsec.blackscholes,1553799988753,False,3,23055057600,11527524400,448.173,210.26,17689.129,31.606,14.4,34.4,48.8,4098.836,85.011,0,0,0,,,,5,0.042,0.048,32,43.345,15,50.092999999999996,,,,0.021
3/28/2019 2:06:34.441000000 PM,2,1553799748.0,parsec.blackscholes,1553799993860,False,3,23055332600,11527650200,504.801,258.533,17374.67,34.268,50.879,35.199,345.593,4099.098,88.722,0,0,0,,,,5,0.047,0.062,32,49.096000000000004,14,57.931999999999995,,,,0.024
3/28/2019 2:06:39.728000000 PM,2,1553799748.0,parsec.blackscholes,1553799999153,False,3,23055249200,11527620800,507.989,255.639,16560.074,38.426,23.039,47.199,275.194,4099.922,116.757,0,0,0,,,,5,0.045,0.056,32,51.277,14,57.613,,,,0.022
3/28/2019 2:06:45.097000000 PM,2,1553799748.0,parsec.blackscholes,1553800004526,False,3,23055249200,11527620800,507.989,255.639,17356.645,39.848,47.682,61.603,423.219,4101.852,114.962,0,0,0,,,,5,0.045,0.055,32,46.464999999999996,15,52.443,,,,0.022
3/28/2019 2:06:50.139000000 PM,2,1553799748.0,parsec.blackscholes,1553800009579,False,3,23055324800,11527654200,535.025,258.561,17526.493,45.486,67.519,63.199,373.593,4098.785,112.448,0,0,0,,,,5,0.044,0.054,32,37.467,14,42.942,,,,0.022
3/28/2019 2:06:55.203000000 PM,2,1553799748.0,parsec.blackscholes,1553800014611,False,3,23055361600,11527658600,610.462,332.585,16992.897,46.795,51.359,55.199,312.794,4100.496,148.045,0,0,0,,,,5,0.049,0.062,32,52.489000000000004,13,61.683,,,,0.025
3/28/2019 2:07:00.336000000 PM,2,1553799748.0,parsec.blackscholes,1553800019757,False,3,23055092600,11527540800,608.058,342.526,16559.573,48.884,56.48,65.6,1086.395,4100.82,161.203,0,0,0,,,,5,0.046,0.053,32,44.055,14,53.573,,,,0.023
3/28/2019 2:07:05.707000000 PM,2,1553799748.0,parsec.blackscholes,1553800025115,False,3,23055092600,11527540800,608.058,342.526,17099.009,50.356,81.124,67.204,589.631,4101.078,158.641,0,0,0,,,,5,0.046,0.052,32,50.014,14,62.419000000000004,,,,0.023
3/28/2019 2:07:10.965000000 PM,2,1553799748.0,parsec.blackscholes,1553800030400,False,3,23054376400,11527177200,636.872,351.289,17391.564,49.919,69.759,71.999,1104.786,4101.074,170.579,0,0,0,,,,5,0.047,0.057,32,40.236000000000004,14,46.454,,,,0.024
3/28/2019 2:07:16.218000000 PM,2,1553799748.0,parsec.blackscholes,1553800035646,False,3,23054848000,11527410800,647.749,361.018,16282.529,51.661,75.039,80.799,931.184,4103.41,166.742,0,0,0,,,,5,0.048,0.057,32,37.226,14,46.458,,,,0.024
3/28/2019 2:07:21.574000000 PM,2,1553799748.0,parsec.blackscholes,1553800040990,False,3,23054236000,11527125600,701.361,416.615,17144.192,57.022,61.52,52,686.8,4101.824,203.424,0,0,0,,,,5,0.046,0.054,32,50.423,14,57.967999999999996,,,,0.023
3/28/2019 2:07:26.640000000 PM,2,1553799748.0,parsec.blackscholes,1553800046078,False,3,23054236000,11527125600,701.361,416.615,17938.12,62.417,87.042,68.801,842.418,4101.238,234.917,0,0,0,,,,5,0.047,0.055,32,39.426,13,45.345000000000006,,,,0.024
3/28/2019 2:07:32.003000000 PM,2,1553799748.0,parsec.blackscholes,1553800051415,False,3,23055216800,11527619200,742.447,448.2,17479.926,68.795,89.92,80,1227.197,4100.125,200.517,0,0,0,,,,5,0.047,0.055,32,51.327,14,62.367,,,,0.024
3/28/2019 2:07:37.193000000 PM,2,1553799748.0,parsec.blackscholes,1553800056556,False,3,23054527900,11527258300,850.959,548.695,18421.485,74.486,18.240000000000002,26.399,31.199,4100.641,260.82,0,0,0,,,,5,0.046,0.051,32,106.849,13,118.815,,,,0.023
3/28/2019 2:07:42.345000000 PM,2,1553799748.0,parsec.blackscholes,1553800061765,False,3,23053785400,11526872800,904.287,602.444,19674.566,89.454,156.803,72.002,1213.627,4102.828,384.273,0,0,0,,,,5,0.047,0.051,32,54.266,13,61.095,,,,0.024
