date,DISTSIM_BENCH.active_cores,DISTSIM_BENCH.benchmark_grp,DISTSIM_BENCH.benchmark_id,DISTSIM_BENCH.benchtime_ms,DISTSIM_BENCH.dataprocessed,DISTSIM_BENCH.host_CPI,DISTSIM_BENCH.host_L2_BW,DISTSIM_BENCH.host_L3_BW,DISTSIM_BENCH.host_L3_SYSTEM_BW,DISTSIM_BENCH.host_MEM_BW,DISTSIM_BENCH.host_context_switch,DISTSIM_BENCH.host_cpupercent,DISTSIM_BENCH.host_disk_io,DISTSIM_BENCH.host_disk_io_time,DISTSIM_BENCH.host_disk_weighted_io_time,DISTSIM_BENCH.host_memory,DISTSIM_BENCH.host_network,DISTSIM_BENCH.host_pagefault,DISTSIM_BENCH.host_sched_iowait,DISTSIM_BENCH.host_sched_wait,DISTSIM_BENCH.interference,DISTSIM_BENCH.interference-0,DISTSIM_BENCH.interference-1,DISTSIM_BENCH.interval,DISTSIM_BENCH.latency,DISTSIM_BENCH.latency90,DISTSIM_BENCH.memory_limit,DISTSIM_BENCH.process_dur_ms,DISTSIM_BENCH.throughput,DISTSIM_BENCH.total_dur_ms,DISTSIM_BENCH.web_IPC,DISTSIM_BENCH.web_cpupercent,DISTSIM_BENCH.web_memory,DISTSIM_BENCH.weighted_latency
32:21.5,2,1553790712,prev,1.55379E+12,FALSE,3,23055003400,11527501400,28.792,14.384,3706.31,1.862,9.76,17.6,23.6,3666.855,0.632,0,0,0,,,,5,0.001,0.001,32,46.131,1,63.865,,,,0.001
32:27.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055018800,11527510400,25.809,12.492,32112.098,9.825,886.407,96.001,2636.821,3669.578,0.901,0,0,0,,,,5,0.343,0.367,32,43.424,8,49.597,,,,0.172
32:32.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055157200,11527574200,271.583,133.149,31755.979,9.383,10.88,12.8,16,3704.234,0.856,0,0,0,,,,5,0.35,0.366,32,41.818,7,48.253,,,,0.175
32:37.6,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23042042800,11521019800,307.006,160.212,35128.37,10.382,12.8,15.2,16.8,3669.031,1.018,0,0,0,,,,5,0.342,0.359,32,34.366,8,39.483,,,,0.171
32:43.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055090800,11527553800,317.791,155.592,33349.777,10.417,465.278,72,1744.797,3669.797,0.821,0,0,0,,,,5,0.364,0.41,32,33.062,8,42.181,,,,0.182
32:48.9,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055326000,11527663600,300.411,150.764,31932.296,9.598,13.76,24,30.4,3669.391,0.879,0,0,0,,,,5,0.346,0.362,32,45.409,8,51.791,,,,0.173
32:54.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055326000,11527663600,300.411,150.764,32781.515,13.744,9.44,19.2,24.8,3699.086,1.734,0,0,0,,,,5,0.357,0.391,32,32.387,8,39.132,,,,0.178
33:00.1,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055235800,11527610000,393.059,224.199,41120.67,33.234,456.798,72.799,1898.383,3704.09,98.706,0,0,0,,,,5,0.365,0.403,32,55.789,8,68.347,,,,0.182
33:05.4,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23055017200,11527536600,705.865,472.648,39858.873,61.072,24,19.2,21.6,3699.883,225.712,0,0,0,,,,5,0.401,0.436,32,33.545,7,38.533,,,,0.201
33:10.9,2,1553790712,parsec.dedup,1.55379E+12,FALSE,3,23054166000,11527080800,883.722,632.246,38901.524,72.808,9.12,24.8,30.4,3665.895,254.857,0,0,0,,,,5,0.407,0.418,32,85.913,7,95.069,,,,0.203
