date,DISTSIM_BENCH.active_cores,DISTSIM_BENCH.benchmark_grp,DISTSIM_BENCH.benchmark_id,DISTSIM_BENCH.benchtime_ms,DISTSIM_BENCH.dataprocessed,DISTSIM_BENCH.host_CPI,DISTSIM_BENCH.host_L2_BW,DISTSIM_BENCH.host_L3_BW,DISTSIM_BENCH.host_L3_SYSTEM_BW,DISTSIM_BENCH.host_MEM_BW,DISTSIM_BENCH.host_context_switch,DISTSIM_BENCH.host_cpupercent,DISTSIM_BENCH.host_disk_io,DISTSIM_BENCH.host_disk_io_time,DISTSIM_BENCH.host_disk_weighted_io_time,DISTSIM_BENCH.host_memory,DISTSIM_BENCH.host_network,DISTSIM_BENCH.host_pagefault,DISTSIM_BENCH.host_sched_iowait,DISTSIM_BENCH.host_sched_wait,DISTSIM_BENCH.interference,DISTSIM_BENCH.interference-0,DISTSIM_BENCH.interference-1,DISTSIM_BENCH.interval,DISTSIM_BENCH.latency,DISTSIM_BENCH.latency90,DISTSIM_BENCH.memory_limit,DISTSIM_BENCH.process_dur_ms,DISTSIM_BENCH.throughput,DISTSIM_BENCH.total_dur_ms,DISTSIM_BENCH.web_IPC,DISTSIM_BENCH.web_cpupercent,DISTSIM_BENCH.web_memory,DISTSIM_BENCH.weighted_latency
3/28/2019 12:18:20.090000000 PM,2,1553793471.0,prev,1553793499492,False,3,23054225000,11527110800,93.279,59.167,8184.539,10.62,9.12,21.6,24.8,3845.711,28.325,0,0,0,,,,5,0.001,0.001,32,66.67399999999999,1,74.968,,,,0.001
3/28/2019 12:18:25.278000000 PM,2,1553793471.0,splash2.fft,1553793504710,False,3,23054989600,11527484000,96.229,63.673,11340.671,14.463,11.68,27.2,30.4,3849.539,30.708,0,0,0,,,,5,0.013,0.019,32,41.035000000000004,16,46.999,,,,0.006
3/28/2019 12:18:30.388000000 PM,2,1553793471.0,splash2.fft,1553793509817,False,3,23055225800,11527597400,403.053,162.44,17385.47,18.936,19.52,45.601,74.401,3848.906,31.606,0,0,0,,,,5,0.011,0.011,32,39.828,16,46.510000000000005,,,,0.005
3/28/2019 12:18:35.645000000 PM,2,1553793471.0,splash2.fft,1553793515077,False,3,23055225800,11527597400,403.053,162.44,16938.511,15.97,50.72,36.8,112,3848.93,31.946,0,0,0,,,,5,0.012,0.017,32,42.686,16,48.305,,,,0.006
3/28/2019 12:18:40.700000000 PM,2,1553793471.0,splash2.fft,1553793520129,False,3,23054900200,11527443400,382.512,142.772,17768.021,17.648,26.88,60.8,734.406,3848.715,31.481,0,0,0,,,,5,0.012,0.015,32,43.946,15,50.457,,,,0.006
3/28/2019 12:18:45.860000000 PM,2,1553793471.0,splash2.fft,1553793525277,False,3,23055228000,11527601400,365.322,123.07,16944.939,16.085,13.44,88.798,90.398,3848.656,21.063,0,0,0,,,,5,0.013,0.019,32,45.126,15,55.093999999999994,,,,0.006
3/28/2019 12:18:50.937000000 PM,2,1553793471.0,splash2.fft,1553793530345,False,3,23053574800,11526774000,363.526,137.413,15958.513,17.404,61.599,59.199,503.195,3849.148,29.924,0,0,0,,,,5,0.012,0.014,32,49.08,16,59.55,,,,0.006
3/28/2019 12:18:56.003000000 PM,2,1553793471.0,splash2.fft,1553793535431,False,3,23053574800,11526774000,363.526,137.413,16530.816,16.493,10.72,28,30.4,3846.527,30.773,0,0,0,,,,5,0.012,0.014,32,41.563,16,48.7,,,,0.006
3/28/2019 12:19:01.203000000 PM,2,1553793471.0,splash2.fft,1553793540630,False,3,23024771600,11512377600,387.624,143.783,17520.631,16.855,43.36,55.2,315.202,3850.531,26.293,0,0,0,,,,5,0.012,0.012,32,46.569,16,51.454,,,,0.006
3/28/2019 12:19:06.524000000 PM,2,1553793471.0,splash2.fft,1553793545944,False,3,23054966400,11527478600,394.225,156.348,16587.536,17.383,32.72,57.6,456.399,3849.834,29.486,0,0,0,,,,5,0.012,0.018,32,52.153999999999996,16,57.685,,,,0.006
