date,DISTSIM_BENCH.active_cores,DISTSIM_BENCH.benchmark_grp,DISTSIM_BENCH.benchmark_id,DISTSIM_BENCH.benchtime_ms,DISTSIM_BENCH.dataprocessed,DISTSIM_BENCH.host_CPI,DISTSIM_BENCH.host_L2_BW,DISTSIM_BENCH.host_L3_BW,DISTSIM_BENCH.host_L3_SYSTEM_BW,DISTSIM_BENCH.host_MEM_BW,DISTSIM_BENCH.host_context_switch,DISTSIM_BENCH.host_cpupercent,DISTSIM_BENCH.host_disk_io,DISTSIM_BENCH.host_disk_io_time,DISTSIM_BENCH.host_disk_weighted_io_time,DISTSIM_BENCH.host_memory,DISTSIM_BENCH.host_network,DISTSIM_BENCH.host_pagefault,DISTSIM_BENCH.host_sched_iowait,DISTSIM_BENCH.host_sched_wait,DISTSIM_BENCH.interference,DISTSIM_BENCH.interference-0,DISTSIM_BENCH.interference-1,DISTSIM_BENCH.interval,DISTSIM_BENCH.latency,DISTSIM_BENCH.latency90,DISTSIM_BENCH.memory_limit,DISTSIM_BENCH.process_dur_ms,DISTSIM_BENCH.throughput,DISTSIM_BENCH.total_dur_ms,DISTSIM_BENCH.web_IPC,DISTSIM_BENCH.web_cpupercent,DISTSIM_BENCH.web_memory,DISTSIM_BENCH.weighted_latency
3/28/2019 9:48:02.845000000 AM,2,1553784454.0,prev,1553784482222,False,3,23055038800,11527515200,99.218,63.838,8277.152,10.109,7.841,20.804,24.804,3282.492,35.88,0,0,0,,,,5,0.001,0.001,32,48.389,1,58.803000000000004,,,,0.001
3/28/2019 9:48:08.021000000 AM,2,1553784454.0,pmd,1553784487448,False,3,23055038800,11527515200,99.218,63.838,10311.552,17.725,992.4879999999999,565.605,806.407,3287.738,35.181,0,0,0,,,,5,0.312,0.376,32,30.801,4,37.852999999999994,,,,0.156
3/28/2019 9:48:13.380000000 AM,2,1553784454.0,pmd,1553784492790,False,3,23055228200,11527602400,288.266,122.176,12621.605,19.453,201.438,84.799,1018.388,3301.961,30.495,0,0,0,,,,5,0.295,0.333,32,45.231,9,58.116,,,,0.147
3/28/2019 9:48:18.912000000 AM,2,1553784454.0,pmd,1553784498350,False,3,23055379600,11527679600,456.551,176.774,12422.071,21.858,45.599,39.199,47.998,3303.863,35.454,0,0,0,,,,5,0.296,0.316,32,33.381,9,40.217999999999996,,,,0.148
3/28/2019 9:48:24.026000000 AM,2,1553784454.0,pmd,1553784503468,False,3,23055293200,11527637800,428.664,160.654,12165.086,19.95,39.362,90.404,142.406,3327.445,33.865,0,0,0,,,,5,0.288,0.306,32,31.679,9,37.267,,,,0.144
3/28/2019 9:48:29.299000000 AM,2,1553784454.0,pmd,1553784508727,False,3,23055293200,11527637800,428.664,160.654,12604.382,20.012,189.919,73.599,979.989,3291.152,30.148,0,0,0,,,,5,0.293,0.324,32,40.626000000000005,9,47.95399999999999,,,,0.146
3/28/2019 9:48:34.535000000 AM,2,1553784454.0,pmd,1553784513973,False,3,23054878000,11527435200,460.361,165.612,13674.542,22.553,44.159,41.599,54.399,3313.379,36.349,0,0,0,,,,5,0.304,0.368,32,32.974999999999994,9,39.372,,,,0.152
3/28/2019 9:48:39.760000000 AM,2,1553784454.0,pmd,1553784519198,False,3,23054987200,11527492200,445.19,163.351,11532.532,20.498,274.083,88.801,1536.018,3333.328,31.134,0,0,0,,,,5,0.289,0.331,32,36.031,9,41.396,,,,0.144
3/28/2019 9:48:44.924000000 AM,2,1553784454.0,pmd,1553784524339,False,3,23054987200,11527492200,445.19,163.351,12044.666,20.062,52.64,40,52,3296.074,25.142,0,0,0,,,,5,0.299,0.332,32,41.307,9,54.199999999999996,,,,0.149
3/28/2019 9:48:50.612000000 AM,2,1553784454.0,pmd,1553784530032,False,3,23053678800,11526828400,484.361,168.303,14482.973,19.425,51.999,38.399,51.999,3322.91,31.188,0,0,0,,,,5,0.3,0.328,32,45.377,10,53.654,,,,0.15
3/28/2019 9:48:55.878000000 AM,2,1553784454.0,pmd,1553784535317,False,3,23055365600,11527661200,458.538,169.018,12430.732,20.244,211.045,79.202,732.821,3307.504,25.956,0,0,0,,,,5,0.303,0.334,32,31.486,9,37.059000000000005,,,,0.151
3/28/2019 9:49:01.380000000 AM,2,1553784454.0,pmd,1553784540806,False,3,23054952600,11527470800,428.674,154.787,12136.876,19.715,49.599999999999994,36.8,48.4,3343.355,27.239,0,0,0,,,,5,0.294,0.326,32,48.650999999999996,10,53.939,,,,0.147
3/28/2019 9:49:06.703000000 AM,2,1553784454.0,pmd,1553784546140,False,3,23054952600,11527470800,428.674,154.787,12953.457,18.847,195.998,82.398,559.988,3320.805,28.681,0,0,0,,,,5,0.296,0.358,32,36.638,9,41.919,,,,0.148
3/28/2019 9:49:11.925000000 AM,2,1553784454.0,pmd,1553784551347,False,3,23054542600,11527259200,453.829,158.304,11916.981,20.956,52.48,35.201,51.201,3326.008,32.624,0,0,0,,,,5,0.299,0.341,32,37.175,9,46.883,,,,0.149
3/28/2019 9:49:16.956000000 AM,2,1553784454.0,pmd,1553784556365,False,3,23054833600,11527412000,432.759,149.832,12559.338,20.371,44.16,44.8,56,3344.895,29.449,0,0,0,,,,5,0.287,0.303,32,45.214999999999996,9,57.389,,,,0.143
3/28/2019 9:49:21.994000000 AM,2,1553784454.0,pmd,1553784561432,False,3,23055205800,11527592200,459.303,169.69,11021.034,20.839,193.921,76,638.404,3330.535,19.05,0,0,0,,,,5,0.29,0.319,32,33.961,9,39.252,,,,0.145
3/28/2019 9:49:27.037000000 AM,2,1553784454.0,pmd,1553784566450,False,3,23055205800,11527592200,459.303,169.69,11798.221,19.689,54.56,39.2,55.2,3336.863,29.013,0,0,0,,,,5,0.288,0.345,32,46.061,9,55.315000000000005,,,,0.144
3/28/2019 9:49:32.369000000 AM,2,1553784454.0,pmd,1553784571805,False,3,23055225600,11527608800,450.873,160.1,11893.118,18.383,52.798,43.198,75.997,3318.32,26.429,0,0,0,,,,5,0.295,0.305,32,39.072,9,44.312,,,,0.147
3/28/2019 9:49:37.717000000 AM,2,1553784454.0,pmd,1553784577140,False,3,23055224000,11527610200,420.308,148.024,10567.611,19.414,126.085,54.402,938.433,3327.207,26.223,0,0,0,,,,5,0.301,0.355,32,43.971000000000004,9,52.781,,,,0.15
3/28/2019 9:49:42.750000000 AM,2,1553784454.0,pmd,1553784582182,False,3,23055224000,11527610200,420.308,148.024,11586.32,20.321,281.125,84.001,2014.431,3327.066,26.361,0,0,0,,,,5,0.284,0.302,32,40.442,9,47.293,,,,0.142
